vehicle_id,model,manufacture_year,age_years,age_months,mileage_km,mileage_miles,battery_capacity_kwh,current_capacity_kwh,battery_health_percent,battery_cycles,base_price_lkr,region,region_cost_multiplier,avg_temperature_c,fast_charge_ratio,home_charging_available,public_charging_frequency,previous_repairs,needs_repair,repair_type,service_provider,labor_hours,labor_rate_lkr_per_hour,labor_cost_lkr,parts_cost_lkr,diagnostic_fee_lkr,service_charge_lkr,total_repair_cost_lkr,under_warranty,warranty_coverage_percent,out_of_pocket_cost_lkr,total_cost_usd,out_of_pocket_usd
SLEV_00018,Wuling Air EV,2021,5,60,45710,28402,26,20.73,79.71,228,4500000,Anuradhapura,0.85,28.7,0.687,True,Very Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00019,Mitsubishi i-MiEV,2012,14,168,164468,102195,16,9.14,57.12,822,2300000,Kandy,0.95,37.6,0.179,False,Very Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00020,Kia Niro EV,2020,6,72,61262,38066,64,52.07,81.36,306,15000000,Kurunegala,0.88,22.1,0.196,True,Rare,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00021,Nissan Leaf 62kWh,2021,5,60,53512,33250,62,50.82,81.96,267,12000000,Batticaloa,0.82,29.1,0.2,False,Rare,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00022,Hyundai Kona Electric,2023,3,36,34359,21349,64,55.42,86.6,171,15000000,Ratnapura,0.87,27.4,0.234,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00023,Kia Niro EV,2021,5,60,66318,41208,64,51.74,80.85,331,15000000,Jaffna,0.9,33.7,0.279,True,Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00024,Mahindra e2o,2018,8,96,101304,62947,10,7.21,72.1,506,2500000,Negombo,1.0,28.7,0.457,False,Occasional,3,True,Body Panel Repair,Authorized Dealer,2.34,4284.09,10007.75,215317.37,7210.98,6089.19,230106.17,False,0.0,230106.17,767.02,767.02
SLEV_00025,Nissan Leaf,2024,2,24,20221,12564,40,35.11,87.76,101,9000000,Negombo,1.0,32.0,0.184,True,Very Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00026,Mercedes B250e,2016,10,120,76140,47311,28,18.69,66.75,380,18000000,Matara,0.85,31.4,0.534,False,Rare,2,True,Battery Cooling System Repair,Browns Hybrid Care,12.8,3389.87,43376.52,730152.23,5850.08,34045.61,811611.72,False,0.0,811611.72,2705.37,2705.37
SLEV_00027,Volkswagen ID.4,2021,5,60,47899,29763,77,64.25,83.44,239,14000000,Kandy,0.95,24.4,0.156,True,Very Frequent,1,True,High Voltage Cable Replacement,Independent EV Specialist,5.25,3460.91,18154.5,231808.14,7610.42,16054.11,284989.66,False,0.0,284989.66,949.97,949.97
SLEV_00028,BMW i3,2022,4,48,55891,34729,42,37.75,89.88,279,15000000,Jaffna,0.9,22.8,0.04,True,Occasional,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00029,Tesla Model 3,2021,5,60,46128,28662,75,58.59,78.12,230,18000000,Jaffna,0.9,25.9,0.553,True,Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00030,Hyundai IONIQ Electric,2024,2,24,20549,12768,38,36.55,96.18,102,15000000,Negombo,1.0,30.4,0.221,True,Rare,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00031,BYD Atto 3,2024,2,24,15639,9717,60,53.04,88.39,78,12000000,Matara,0.85,31.4,0.076,False,Very Frequent,0,True,Body Panel Repair,Authorized Dealer,1.95,3353.85,6523.71,166433.73,12976.46,6653.09,198680.16,False,0.0,198680.16,662.27,662.27
SLEV_00032,Mahindra e2o,2016,10,120,113130,70295,10,6.87,68.69,565,2500000,Galle,0.9,23.0,0.268,True,Rare,3,True,Cooling Fan Replacement,Browns Hybrid Care,10.36,2688.68,27853.06,146040.51,14394.25,5012.38,201546.15,False,0.0,201546.15,671.82,671.82
SLEV_00033,Tesla Model 3,2019,7,84,67849,42159,75,59.14,78.86,339,18000000,Anuradhapura,0.85,25.6,0.237,True,Rare,3,True,High Voltage Cable Replacement,Independent EV Specialist,9.3,1628.18,15139.22,152775.14,13761.46,8133.38,192989.6,False,0.0,192989.6,643.3,643.3
SLEV_00034,Kia Niro EV,2022,4,48,34409,21380,64,59.29,92.64,172,15000000,Batticaloa,0.82,29.7,0.345,True,Occasional,1,True,Onboard Charger Replacement,Independent EV Specialist,11.69,1582.18,18491.08,683628.78,14050.47,16615.44,716435.68,False,0.0,716435.68,2388.12,2388.12
SLEV_00035,Volkswagen ID.4,2024,2,24,16867,10480,77,65.72,85.35,84,14000000,Colombo,1.15,27.6,0.32,True,Frequent,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00036,Tesla Model S,2021,5,60,38055,23646,100,81.41,81.41,190,33000000,Colombo,1.15,30.7,0.157,False,Rare,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00037,Mercedes B250e,2017,9,108,143422,89118,28,18.99,67.81,717,18000000,Jaffna,0.9,28.1,0.206,True,Very Frequent,7,True,High Voltage Cable Replacement,Independent EV Specialist,6.05,2655.26,16059.16,245499.34,14838.18,14737.9,283484.35,False,0.0,283484.35,944.95,944.95
SLEV_00038,Nissan Leaf 62kWh,2024,2,24,15845,9845,62,56.64,91.35,79,12000000,Negombo,1.0,28.6,0.257,True,Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00039,Kia Niro EV,2023,3,36,25765,16009,64,54.8,85.62,128,15000000,Ratnapura,0.87,27.8,0.405,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00040,Kia Niro EV,2020,6,72,41834,25994,64,52.69,82.33,209,15000000,Jaffna,0.9,32.5,0.159,False,Occasional,1,True,Charging Port Repair,General Auto Workshop,1.63,1358.53,2211.95,108877.44,10273.22,7516.02,123809.82,False,0.0,123809.82,412.7,412.7
SLEV_00041,MG ZS EV,2021,5,60,52293,32493,44,37.02,84.14,261,11000000,Anuradhapura,0.85,30.0,0.316,False,Rare,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00042,Tesla Model 3,2017,9,108,60949,37871,75,55.03,73.37,304,18000000,Matara,0.85,23.3,0.166,True,Occasional,4,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00043,Tesla Model 3,2024,2,24,21210,13179,75,65.13,86.84,106,18000000,Negombo,1.0,29.4,0.116,False,Rare,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00044,Wuling Air EV,2021,5,60,69787,43363,26,21.42,82.38,348,4500000,Batticaloa,0.82,25.2,0.133,True,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00045,Mitsubishi i-MiEV,2016,10,120,74534,46313,16,12.57,78.56,372,2300000,Matara,0.85,30.6,0.08,True,Very Frequent,5,True,Headlight/Taillight Replace,Hybrid Hub (Edirisinghe),7.48,3164.7,23676.06,161568.49,14508.9,7511.94,201614.31,False,0.0,201614.31,672.05,672.05
SLEV_00046,MG ZS EV,2022,4,48,30634,19035,44,39.47,89.71,153,11000000,Ratnapura,0.87,26.6,0.403,True,Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00047,MG ZS EV,2024,2,24,32693,20314,44,40.78,92.69,163,11000000,Jaffna,0.9,24.1,0.258,False,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00048,Tesla Model S,2017,9,108,60860,37816,100,77.33,77.33,304,33000000,Galle,0.9,23.2,0.233,False,Occasional,2,True,Suspension Component Repair,General Auto Workshop,4.29,2010.9,11210.52,373288.04,13327.58,20033.98,404675.09,False,0.0,404675.09,1348.92,1348.92
SLEV_00049,Nissan Leaf 62kWh,2023,3,36,19247,11959,62,57.37,92.52,96,12000000,Colombo,1.15,32.8,0.169,True,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00050,Volkswagen ID.4,2023,3,36,29865,18557,77,67.97,88.28,149,14000000,Kandy,0.95,21.5,0.291,True,Frequent,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00051,Tesla Model 3,2022,4,48,48125,29903,75,58.28,77.71,240,18000000,Galle,0.9,27.2,0.406,True,Occasional,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00052,Mercedes B250e,2020,6,72,44137,27425,28,23.24,82.98,220,18000000,Kurunegala,0.88,26.5,0.31,True,Very Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00053,Mahindra e2o,2015,11,132,61779,38387,10,6.28,62.79,308,2500000,Kandy,0.95,24.1,0.205,True,Frequent,7,True,High Voltage Cable Replacement,General Auto Workshop,7.5,3063.0,22981.52,345694.27,6224.13,19354.76,399517.12,False,0.0,399517.12,1331.72,1331.72
SLEV_00054,Mahindra e2o,2019,7,84,71764,44592,10,7.42,74.22,358,2500000,Anuradhapura,0.85,25.3,0.239,True,Rare,4,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00055,Mitsubishi i-MiEV,2018,8,96,103723,64450,16,11.56,72.27,518,2300000,Matara,0.85,27.3,0.332,False,Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00056,Mitsubishi i-MiEV,2014,12,144,156227,97074,16,8.0,50.0,781,2300000,Colombo,1.15,32.8,0.188,True,Occasional,8,True,Steering System Repair,Authorized Dealer,12.29,5686.07,69898.23,407047.47,8690.85,19394.05,497532.92,False,0.0,497532.92,1658.44,1658.44
SLEV_00057,BYD Atto 3,2024,2,24,23109,14359,60,52.29,87.15,115,12000000,Batticaloa,0.82,30.5,0.102,False,Occasional,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00058,Mercedes B250e,2014,12,144,138559,86096,28,15.56,55.58,692,18000000,Matara,0.85,35.8,0.427,True,Frequent,4,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00059,Mercedes B250e,2015,11,132,147313,91536,28,16.66,59.49,736,18000000,Jaffna,0.9,28.4,0.429,True,Very Frequent,3,True,Battery Management System (BMS),Independent EV Specialist,12.45,2783.64,34670.03,806963.92,9363.18,39103.94,881599.31,False,0.0,881599.31,2938.66,2938.66
SLEV_00060,MG ZS EV,2021,5,60,71419,44377,44,35.4,80.45,357,11000000,Galle,0.9,32.2,0.487,False,Very Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00061,BMW i3,2022,4,48,35544,22086,42,37.66,89.66,177,15000000,Colombo,1.15,22.2,0.294,False,Very Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00062,Wuling Air EV,2021,5,60,34907,21690,26,22.42,86.23,174,4500000,Matara,0.85,29.1,0.348,True,Very Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00063,Mitsubishi i-MiEV,2017,9,108,96506,59966,16,12.74,79.64,482,2300000,Galle,0.9,29.0,0.324,True,Very Frequent,5,True,Suspension Component Repair,Authorized Dealer,10.92,3081.1,33649.07,77062.73,13605.43,8377.02,139261.39,False,0.0,139261.39,464.2,464.2
SLEV_00064,Volkswagen ID.4,2021,5,60,45293,28143,77,61.83,80.3,226,14000000,Matara,0.85,29.0,0.186,True,Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00065,Volkswagen ID.4,2024,2,24,13103,8141,77,68.65,89.15,65,14000000,Batticaloa,0.82,28.7,0.605,False,Rare,0,True,Tire Replacement (Set),Browns Hybrid Care,7.62,1685.49,12839.47,213217.24,8941.76,11039.52,248311.58,False,0.0,248311.58,827.71,827.71
SLEV_00066,Tesla Model 3,2024,2,24,21527,13376,75,69.91,93.21,107,18000000,Jaffna,0.9,28.4,0.46,False,Frequent,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00067,Mercedes B250e,2015,11,132,110790,68841,28,20.31,72.55,553,18000000,Galle,0.9,32.5,0.259,True,Occasional,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00068,Mitsubishi i-MiEV,2012,14,168,147477,91637,16,8.43,52.7,737,2300000,Batticaloa,0.82,29.1,0.35,True,Frequent,9,True,Battery Module Replacement,Hybrid Hub (Edirisinghe),15.32,1793.85,27480.96,2528166.8,7150.6,146323.44,2586057.78,False,0.0,2586057.78,8620.19,8620.19
SLEV_00069,Hyundai IONIQ Electric,2023,3,36,41741,25936,38,32.96,86.74,208,15000000,Anuradhapura,0.85,31.4,0.11,True,Rare,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00070,Nissan Leaf,2022,4,48,53105,32997,40,35.6,88.99,265,9000000,Kandy,0.95,28.7,0.121,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00071,Kia Niro EV,2019,7,84,48098,29886,64,51.65,80.7,240,15000000,Jaffna,0.9,29.4,0.328,False,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00072,Kia Niro EV,2022,4,48,46075,28629,64,56.93,88.95,230,15000000,Matara,0.85,26.6,0.558,True,Occasional,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00073,Tesla Model S,2015,11,132,97561,60621,100,57.92,57.92,487,33000000,Colombo,1.15,27.2,0.275,False,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00074,Tesla Model S,2020,6,72,53950,33522,100,78.22,78.22,269,33000000,Ratnapura,0.87,26.0,0.291,True,Occasional,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00075,Nissan Leaf 62kWh,2024,2,24,28988,18012,62,57.34,92.48,144,12000000,Kandy,0.95,28.3,0.261,False,Occasional,0,True,Headlight/Taillight Replace,General Auto Workshop,8.22,2395.61,19689.25,34737.92,14234.55,1258.26,70208.73,False,0.0,70208.73,234.03,234.03
SLEV_00076,Volkswagen ID.4,2023,3,36,37126,23069,77,65.53,85.11,185,14000000,Kandy,0.95,26.3,0.159,True,Occasional,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00077,Mercedes B250e,2016,10,120,100950,62727,28,19.47,69.53,504,18000000,Batticaloa,0.82,23.1,0.033,True,Occasional,4,True,Door Lock Actuator,Browns Hybrid Care,4.01,2398.63,9624.3,106913.09,11912.48,5305.9,131695.06,False,0.0,131695.06,438.98,438.98
SLEV_00078,Tesla Model 3,2019,7,84,59976,37267,75,55.81,74.41,299,18000000,Anuradhapura,0.85,26.0,0.384,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00079,Mitsubishi i-MiEV,2012,14,168,159026,98814,16,8.57,53.57,795,2300000,Galle,0.9,28.2,0.218,True,Occasional,4,True,DC-DC Converter Repair,Hybrid Hub (Edirisinghe),4.13,2605.62,10750.28,567517.85,6902.28,38401.85,600554.57,False,0.0,600554.57,2001.85,2001.85
SLEV_00080,Volkswagen ID.4,2021,5,60,33962,21103,77,62.88,81.66,169,14000000,Ratnapura,0.87,27.4,0.371,True,Frequent,1,True,Power Electronics Module,Browns Hybrid Care,13.31,2970.07,39529.24,450539.6,13130.05,33491.41,541271.17,False,0.0,541271.17,1804.24,1804.24
SLEV_00081,Kia Niro EV,2020,6,72,70989,44110,64,50.52,78.94,354,15000000,Batticaloa,0.82,31.3,0.808,True,Frequent,1,True,Door Lock Actuator,Browns Hybrid Care,11.12,3458.81,38460.68,22833.45,14421.74,3576.34,82209.52,False,0.0,82209.52,274.03,274.03
SLEV_00082,Wuling Air EV,2021,5,60,37001,22991,26,22.77,87.59,185,4500000,Matara,0.85,31.6,0.164,False,Rare,3,True,High Voltage Cable Replacement,Independent EV Specialist,11.61,3279.91,38066.51,228730.81,8966.1,15226.35,301724.52,False,0.0,301724.52,1005.75,1005.75
SLEV_00083,BMW i3,2022,4,48,43026,26735,42,34.52,82.2,215,15000000,Batticaloa,0.82,29.7,0.446,True,Occasional,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00084,BMW i3,2016,10,120,108888,67659,42,26.55,63.22,544,15000000,Kandy,0.95,28.0,0.491,True,Frequent,5,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00085,Tesla Model S,2017,9,108,67693,42062,100,67.68,67.68,338,33000000,Negombo,1.0,35.0,0.217,False,Occasional,5,True,Battery Cooling System Repair,Independent EV Specialist,10.83,2877.95,40516.07,772037.95,9228.98,39612.75,820534.77,False,0.0,820534.77,2735.12,2735.12
SLEV_00086,Nissan Leaf,2019,7,84,82690,51381,40,32.03,80.09,413,9000000,Ratnapura,0.87,27.2,0.39,True,Very Frequent,4,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00087,Mitsubishi i-MiEV,2016,10,120,104497,64931,16,11.59,72.42,522,2300000,Negombo,1.0,25.1,0.333,True,Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00088,Mahindra e2o,2015,11,132,125153,77766,10,6.32,63.25,625,2500000,Negombo,1.0,26.7,0.335,False,Occasional,5,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00089,Nissan Leaf,2023,3,36,34344,21340,40,36.9,92.25,171,9000000,Kandy,0.95,30.1,0.194,False,Rare,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00090,Wuling Air EV,2024,2,24,22287,13848,26,23.46,90.22,111,4500000,Colombo,1.15,28.4,0.301,True,Frequent,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00091,Tesla Model S,2023,3,36,40946,25442,100,81.25,81.25,204,33000000,Kandy,0.95,26.3,0.216,True,Rare,1,True,Wiring Harness Repair,Authorized Dealer,6.53,3824.71,32470.59,245181.1,14895.07,7691.97,288352.57,False,0.0,288352.57,961.18,961.18
SLEV_00092,Volkswagen ID.4,2021,5,60,37315,23186,77,63.29,82.2,186,14000000,Jaffna,0.9,34.4,0.324,True,Occasional,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00093,Nissan Leaf 62kWh,2022,4,48,46949,29172,62,55.74,89.91,234,12000000,Batticaloa,0.82,26.4,0.536,True,Rare,2,True,Onboard Charger Replacement,Independent EV Specialist,16.62,1688.15,28051.2,587252.57,5411.2,32087.88,626473.78,False,0.0,626473.78,2088.25,2088.25
SLEV_00094,BYD Atto 3,2022,4,48,25928,16110,60,49.85,83.08,129,12000000,Anuradhapura,0.85,29.7,0.253,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00095,Tesla Model S,2016,10,120,61588,38268,100,68.81,68.81,307,33000000,Batticaloa,0.82,29.1,0.302,True,Very Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
